name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
DAKOTO HM DO BRASIL,Stallion ,,PALOMINO,143,AES ,056002P00712283,,981100004908359A,BRAM HEINDRYCKX,LEONIE DE WAELE,KRISTALL VAN ORCHID'S,ORCHID'S CEANA,
KRISTALL VAN ORCHID'S,Stallion ,,BAY,,NRPS,,,528210004232724A,ORCHIDS PAARDENMELKERIJ,ORCHIDS PAARDENMELKERIJ,KANSHEBBER,ORCHID'S CESTANICA,
ORCHID'S CEANA,MARE,,-,,-,,,-,-,-,BERKHOF'S HIGGLEDY PIGGLEDY,ORCHID'S TESSALIA,
KANSHEBBER,Stallion ,,CHESTNUT,144,NRPS,,,-,-,-,KRIMH OX,DAISY BROWN,
ORCHID'S CESTANICA,MARE,,BAY,,NRPS,,,-,-,-,KANTJE’S CARLANDO,MANIQUE,
BERKHOF'S HIGGLEDY PIGGLEDY,Stallion ,,PALOMINO,148,NNFPS ,,,-,-,-,SWEET WILLIAM,MOONLIGHT,
ORCHID'S TESSALIA,MARE,,-,,-,,,-,-,-,MARITS MISTIQUE,ORCHID'S KELLYI,
KRIMH OX,Stallion ,1986,CHESTNUT,155,OX,A 4263,,-,LIBERTY ARABIANS BV,MW. INA MAJOOR-SCHIPHOF,KOMPLEKT OX,SOMALIA OX,
DAISY BROWN,MARE,,GREY,145,NRPS,,,-,-,-,KEBIR II OX,ESSINK’S GIPSY QUEEN,
KANTJE'S CARLANDO,Stallion ,,BAY,147,NNFPS,,,-,FA VAN DE RAKT,ORCHIDS PAARDENMELKERIJ,KANTJE'S RONALDO,WEVERIJK'S SANTANA,
MONIQUE,MARE,,PALOMINO,148,NRPS,,,-,-,-,EL BEAUTY,SPEED FIRE,
SWEET WILLIAM,Stallion ,,DARK CHESTNUT ,,NNFPS,-,,-,-,-,OOSTERBROEK ARTHUR,FURZEY LODE PERFECTION,
MOONLIGHT,MARE,,PALOMINO,,NNFPS,-,,-,-,-,ALEXANDER,FLEURTJE,
MARITS MISTIQUE,Stallion ,,-,,NNFPS,-,,-,-,-,BEECHWOOD LUCKY STAR,PERFECTIONS MARIT,
ORCHID'S KELLYI,MARE,,-,,-,-,,-,-,-,RALPH,ORCHID'S LADY CONSTANCE,
